"Case Number","Case Date","Status","Completion Date","Address","City","State","Zip Code","City PIN","County","Council District","Police District","Neighborhood","Latitude","Longitude","Mapping Location"
"1148688","11/09/2015","C","05/15/2018","4902 E 24TH ST","Kansas City","MO","64127","19014","Jackson","3","East","East Community Team South","39.082302","-94.526362","4902 E 24TH ST   64127 (39.082302, -94.526362)"
"1047681","08/18/2011","C","06/27/2012","1913 Indiana Ave","Kansas City","MO","64127","14956","Jackson","3","East","Washington Wheatley","39.088526","-94.542437","1913 Indiana Ave   64127 (39.088526, -94.542437)"
"1004891","01/14/2010","C","05/23/2014","1328 E 33rd St","Kansas City","MO","64109","125617","Jackson","3","Central","Center City","39.067039","-94.568129","1328 E 33rd St   64109 (39.067039, -94.568129)"
"1169749","11/17/2016","C","10/20/2017","1101 NE 47th St","Kansas City","MO","64116","207566","Clay","1","Shoal Creek","Davidson","39.179544","-94.566583","1101 NE 47th St   64116 (39.179544, -94.566583)"
"1143238","08/18/2015","C","02/02/2017","2440 CHELSEA AVE","Kansas City","MO","64127","19159","Jackson","3","East","East Community Team South","39.080543","-94.526923","2440 CHELSEA AVE   64127 (39.080543, -94.526923)"
"1235231","02/18/2020","C","12/09/2020","2716 Chelsea Ave","Kansas City","MO","64128","22108","Jackson","3","East","East Community Team South","39.075581","-94.527637","2716 Chelsea Ave   64128 (39.075581, -94.527637)"
"1077335","09/25/2012","C","07/08/2013","3418 OLIVE ST","Kansas City","MO","64109","126507","Jackson","3","Central","Key Coalition","39.063799","-94.5558","3418 OLIVE ST   64109 (39.063799, -94.5558)"
"1064125","05/10/2012","C","01/17/2017","2731 Olive St","Kansas City","MO","64109","26619","Jackson","3","Central","Key Coalition","39.075959","-94.55451","2731 Olive St   64109 (39.075959, -94.55451)"
"1126560","12/02/2014","C","03/14/2018","2422 KENSINGTON AVE","Kansas City","MO","64127","19336","Jackson","3","East","East Community Team South","39.08136","-94.532055","2422 KENSINGTON AVE   64127 (39.08136, -94.532055)"
"1098964","08/23/2013","C","09/19/2013","3240 Thompson Ave","Kansas City","MO","64124","41206","Jackson","4","East","Scarritt Point","39.108087","-94.542375","3240 Thompson Ave   64124 (39.108087, -94.542375)"
"1047635","08/18/2011","C","08/04/2014","5619 E 33RD TER","Kansas City","MO","64128","23451","Jackson","3","East","Dunbar","39.064135","-94.518056","5619 E 33RD TER   64128 (39.064135, -94.518056)"
"1051710","10/10/2011","C","03/18/2013","922 Jackson Ave","Kansas City","MO","64127","10187","Jackson","3","East","Lykins","39.101253","-94.533512","922 Jackson Ave   64127 (39.101253, -94.533512)"
"1048439","08/24/2011","C","02/12/2015","2614 MONTGALL AVE","Kansas City","MO","64127","16416","Jackson","3","East","Washington Wheatley","39.078324","-94.551575","2614 MONTGALL AVE   64127 (39.078324, -94.551575)"
"1126422","11/25/2014","C","12/16/2015","7928 SOUTH BENTON AVE","Kansas City","MO","64132","4914","Jackson","5","Metro","Marlborough East","38.982385","-94.554531","7928 SOUTH BENTON AVE   64132 (38.982385, -94.554531)"
"1069721","07/26/2012","C","06/08/2017","2941 POPLAR AVE","Kansas City","MO","64128","22752","Jackson","3","East","Knoches Park","39.071308","-94.526448","2941 POPLAR AVE   64128 (39.071308, -94.526448)"
"1139685","07/07/2015","C","08/28/2015","2610 Agnes Ave","Kansas City","MO","64127","16505","Jackson","3","East","Washington Wheatley","39.078285","-94.548071","2610 Agnes Ave   64127 (39.078285, -94.548071)"
"1105281","01/16/2014","C","02/20/2014","2541 Brighton Ave","Kansas City","MO","64127","20495","Jackson","3","East","East Community Team South","39.078312","-94.524443","2541 Brighton Ave   64127 (39.078312, -94.524443)"
"1126410","11/25/2014","C","12/12/2018","2639 Norton Ave","Kansas City","MO","64127","17570","Jackson","3","East","East Community Team South","39.07712","-94.534893","2639 Norton Ave   64127 (39.07712, -94.534893)"
"1120255","08/13/2014","C","10/01/2015","2045 E Gregory Blvd","Kansas City","MO","64132","115153","Jackson","5","Metro","East Meyer 7","38.997973","-94.561989","2045 E Gregory Blvd   64132 (38.997973, -94.561989)"
"1231282","11/01/2019","C","07/26/2021","5004 Walrond Ave","Kansas City","MO","64130","35344","Jackson","3","Metro","North Town Fork Creek","39.035089","-94.548049","5004 Walrond Ave   64130 (39.035089, -94.548049)"
"1047764","08/19/2011","C","10/08/2012","5101 Euclid Ave","Kansas City","MO","64130","145588","Jackson","5","Metro","Blue Hills","39.033896","-94.561401","5101 Euclid Ave   64130 (39.033896, -94.561401)"
"1231307","11/04/2019","C","06/04/2021","4101 E 26th St","Kansas City","MO","64127","17567","Jackson","3","East","East Community Team South","39.078134","-94.535019","4101 E 26th St   64127 (39.078134, -94.535019)"
"1059017","03/14/2012","C","12/11/2013","4422 WAYNE AVE","Kansas City","MO","64110","137551","Jackson","3","Central","Ivanhoe Southwest","39.045696","-94.566084","4422 WAYNE AVE   64110 (39.045696, -94.566084)"
"1141853","08/03/2015","C","09/27/2017","3036 WALROND AVE","Kansas City","MO","64128","24831","Jackson","3","East","Santa Fe","39.070043","-94.546315","3036 WALROND AVE   64128 (39.070043, -94.546315)"
"1066238","06/05/2012","C","11/07/2013","3929 MANHEIM RD","Kansas City","MO","64110","135683","Jackson","3","Central","Manheim Park","39.05486","-94.568352","3929 MANHEIM RD   64110 (39.05486, -94.568352)"
"1242047","07/06/2020","C","07/30/2020","1929 Elmwood Ave","Kansas City","MO","64127","18298","Jackson","3","East","East Community Team North","39.087501","-94.528945","1929 Elmwood Ave   64127 (39.087501, -94.528945)"
"1133670","04/29/2015","C","09/02/2015","3615 Bellaire Ave","Kansas City","MO","64129","32497","Jackson","3","East","Dunbar","39.058725","-94.515033","3615 Bellaire Ave   64129 (39.058725, -94.515033)"
"1164668","08/25/2016","C","12/21/2016","2611 E 35th St","Kansas City","MO","64128","28817","Jackson","3","East","Oak Park Northwest","39.062288","-94.552542","2611 E 35th St   64128 (39.062288, -94.552542)"
